Desc	Orthogroup	Arabidopsis_thaliana	Anthoceros_angustus	Amborella_trichopoda	Azolla_filiculoides	Ceratopteris_richardii	Selaginella_moellendorffii	GB	Klebsormidium_flaccidum	Mesotaenium_endlicherianum	Oryza_sativa	Pinus_lambertiana	Marchantia_polymorpha	Populus_trichocarpa	Physcomitrella_patens	Sequoiadendron_giganteum	Spirogloea_muscicola	Salvinia_cucullata	Gnetum_montanum	Vitis_vinifera	Volvox_carteri	Zea_may

(null)	Arabidopsis_thaliana1G02740	3	2	1	3	2	3	2	1	1	3	1	1	3	2	0	3	1	4	2	1	1

(null)	Arabidopsis_thaliana1G03750	2	1	2	1	1	1	1	1	1	1	3	1	1	1	2	3	1	1	1	1	1

(null)	Arabidopsis_thaliana1G04050	4	1	5	3	2	1	1	3	0	1	3	2	4	2	2	0	2	3	2	0	4

(null)	Arabidopsis_thaliana1G04400	3	2	2	3	6	3	2	1	1	3	2	1	4	2	3	3	4	2	2	1	4

(null)	Arabidopsis_thaliana1G05490	8	8	5	3	4	2	2	3	0	9	7	5	8	3	3	0	3	6	6	0	5

(null)	Arabidopsis_thaliana1G08880	10	5	7	9	29	5	3	2	3	8	12	5	10	9	13	7	7	7	9	13	13

(null)	Arabidopsis_thaliana1G09320	4	1	7	0	1	1	0	1	1	1	10	2	5	2	8	1	0	8	3	0	2

(null)	Arabidopsis_thaliana1G09470	5	0	1	3	4	0	0	0	0	2	0	1	2	0	2	0	1	1	2	0	6

(null)	Arabidopsis_thaliana1G17730	3	1	2	1	3	2	1	1	1	1	1	2	3	4	2	3	4	2	1	1	1

(null)	Arabidopsis_thaliana1G18450	3	1	2	2	1	1	3	1	1	1	2	1	2	2	1	3	0	1	2	1	1

(null)	Arabidopsis_thaliana1G18800	3	1	2	2	3	1	1	1	1	2	5	1	4	2	3	3	1	2	2	1	2

(null)	Arabidopsis_thaliana1G19100	8	1	3	3	9	6	3	1	1	4	6	1	6	8	5	0	2	2	6	0	7

(null)	Arabidopsis_thaliana1G20240	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana1G20290	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana1G20690	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana1G20693	9	4	7	4	9	4	2	2	4	6	18	2	8	7	5	6	7	5	6	4	10

(null)	Arabidopsis_thaliana1G20696	9	4	7	4	9	4	2	2	4	6	18	2	8	7	5	6	7	5	6	4	10

(null)	Arabidopsis_thaliana1G21700	5	2	4	4	5	2	1	1	2	7	6	2	6	7	6	3	4	6	5	1	6

(null)	Arabidopsis_thaliana1G26470	2	1	1	1	1	1	1	0	0	1	1	1	2	1	1	4	1	1	1	0	1

(null)	Arabidopsis_thaliana1G48310	2	0	1	1	1	1	1	1	0	1	1	2	1	1	2	0	1	1	1	2	1

(null)	Arabidopsis_thaliana1G50410	6	3	2	2	1	6	2	2	2	3	2	1	4	2	1	1	2	1	2	1	4

(null)	Arabidopsis_thaliana1G54690	10	5	7	9	29	5	3	2	3	8	12	5	10	9	13	7	7	7	9	13	13

(null)	Arabidopsis_thaliana1G57565	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana1G57820	7	2	1	2	2	2	2	1	1	2	2	3	2	2	1	4	2	1	2	1	3

(null)	Arabidopsis_thaliana1G63490	7	2	3	5	3	4	2	2	3	3	10	2	6	5	4	5	2	3	4	1	6

(null)	Arabidopsis_thaliana1G64490	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana1G65440	3	1	1	2	2	1	4	1	1	1	2	1	3	2	6	3	2	3	4	1	1

(null)	Arabidopsis_thaliana1G65470	2	1	1	2	1	1	1	1	1	2	3	1	2	1	1	0	1	1	2	1	6

(null)	Arabidopsis_thaliana1G66080	2	1	1	2	3	2	2	1	1	1	2	2	1	4	0	4	3	1	1	1	1

(null)	Arabidopsis_thaliana1G66170	5	3	14	6	2	2	3	2	4	4	1	2	7	2	4	8	4	5	6	1	4

(null)	Arabidopsis_thaliana1G67370	2	1	1	1	1	1	1	1	1	2	0	1	2	1	0	3	0	1	2	0	1

(null)	Arabidopsis_thaliana1G69770	4	2	2	6	2	1	1	1	2	3	5	2	3	1	7	0	4	1	5	0	1

(null)	Arabidopsis_thaliana1G73030	3	1	2	1	3	2	1	1	1	1	1	2	3	4	2	3	4	2	1	1	1

(null)	Arabidopsis_thaliana1G73910	3	1	2	2	1	1	3	1	1	1	2	1	2	2	1	3	0	1	2	1	1

(null)	Arabidopsis_thaliana1G74560	3	1	2	2	3	1	1	1	1	2	5	1	4	2	3	3	1	2	2	1	2

(null)	Arabidopsis_thaliana1G77300	8	4	5	5	11	4	7	7	5	4	12	6	8	8	9	11	8	6	7	1	7

(null)	Arabidopsis_thaliana1G77540	3	1	1	1	1	1	1	0	0	1	0	1	1	1	1	3	0	0	1	0	1

(null)	Arabidopsis_thaliana1G79350	2	1	1	3	1	1	2	4	3	4	5	1	3	1	5	3	2	1	1	0	2

(null)	Arabidopsis_thaliana1G79730	2	1	1	1	1	1	2	1	2	1	1	1	2	2	2	3	0	1	1	1	2

(null)	Arabidopsis_thaliana2G02090	2	1	1	2	2	1	1	1	1	1	1	1	1	3	2	3	1	1	1	1	1

(null)	Arabidopsis_thaliana2G06510	4	1	2	2	3	2	1	1	1	2	3	1	2	2	3	3	3	2	2	1	2

(null)	Arabidopsis_thaliana2G07690	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1

(null)	Arabidopsis_thaliana2G13370	2	1	1	2	1	1	0	1	0	1	2	1	2	2	1	4	1	1	1	1	1

(null)	Arabidopsis_thaliana2G16390	8	8	5	3	4	2	2	3	0	9	7	5	8	3	3	0	3	6	6	0	5

(null)	Arabidopsis_thaliana2G16780	4	1	1	4	3	1	1	1	1	4	7	1	4	1	2	4	3	3	2	1	5

(null)	Arabidopsis_thaliana2G17560	9	4	7	4	9	4	2	2	4	6	18	2	8	7	5	6	7	5	6	4	10

(null)	Arabidopsis_thaliana2G18760	2	2	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	1

(null)	Arabidopsis_thaliana2G19480	5	1	2	4	4	2	5	1	1	5	8	1	7	2	5	3	4	2	2	3	4

(null)	Arabidopsis_thaliana2G19520	3	1	1	1	1	0	2	1	2	1	1	1	3	1	0	3	1	1	2	1	2

(null)	Arabidopsis_thaliana2G21450	8	8	5	3	4	2	2	3	0	9	7	5	8	3	3	0	3	6	6	0	5

(null)	Arabidopsis_thaliana2G22720	3	1	2	1	11	0	1	1	1	2	2	1	3	3	2	3	3	2	1	0	3

(null)	Arabidopsis_thaliana2G25170	4	2	2	2	2	3	1	1	3	1	1	3	4	3	5	3	2	2	3	1	1

(null)	Arabidopsis_thaliana2G27350	2	1	1	1	1	3	0	0	1	1	4	1	2	1	1	3	1	1	1	0	2

(null)	Arabidopsis_thaliana2G28290	4	2	3	2	2	2	2	3	2	2	5	2	4	3	3	3	3	2	3	1	3

(null)	Arabidopsis_thaliana2G32940	5	1	5	2	2	1	1	0	0	4	6	3	5	4	5	0	1	1	4	0	4

(null)	Arabidopsis_thaliana2G33610	5	2	4	4	5	2	1	1	2	7	6	2	6	7	6	3	4	6	5	1	6

(null)	Arabidopsis_thaliana2G43410	3	1	2	3	7	0	1	1	1	2	4	1	3	2	2	3	2	1	1	2	2

(null)	Arabidopsis_thaliana2G44980	2	0	0	1	2	0	1	1	0	0	2	1	1	1	1	0	1	1	1	0	1

(null)	Arabidopsis_thaliana2G46020	2	1	2	1	1	1	1	1	1	1	1	1	2	2	4	4	1	2	1	1	1

(null)	Arabidopsis_thaliana3G01460	2	2	1	1	1	0	0	1	3	2	3	1	2	4	1	3	1	1	6	0	1

(null)	Arabidopsis_thaliana3G01890	3	1	1	1	1	1	2	1	1	1	1	1	4	3	1	6	1	1	2	1	3

(null)	Arabidopsis_thaliana3G03140	4	0	2	2	2	0	0	0	0	2	3	0	4	0	4	0	2	2	2	0	4

(null)	Arabidopsis_thaliana3G03460	3	1	1	2	2	0	1	1	0	5	3	1	2	2	1	0	2	2	1	1	3

(null)	Arabidopsis_thaliana3G04380	4	1	5	3	2	1	1	3	0	1	3	2	4	2	2	0	2	3	2	0	4

(null)	Arabidopsis_thaliana3G05830	5	0	1	3	4	0	0	0	0	2	0	1	2	0	2	0	1	1	2	0	6

(null)	Arabidopsis_thaliana3G06010	4	2	3	2	2	2	2	3	2	2	5	2	4	3	3	3	3	2	3	1	3

(null)	Arabidopsis_thaliana3G06400	3	3	3	3	2	2	2	1	1	3	5	2	2	6	2	3	3	2	1	1	2

(null)	Arabidopsis_thaliana3G07220	3	1	1	2	2	2	1	1	1	3	4	1	1	4	3	3	1	2	1	0	3

(null)	Arabidopsis_thaliana3G07610	7	2	7	7	8	0	3	2	2	6	14	2	9	4	7	3	10	5	9	1	5

(null)	Arabidopsis_thaliana3G10390	4	1	4	2	2	1	1	1	1	3	3	2	4	2	4	3	1	3	3	1	3

(null)	Arabidopsis_thaliana3G11450	3	1	1	2	1	1	1	1	1	1	2	1	2	3	1	3	5	1	1	1	2

(null)	Arabidopsis_thaliana3G12810	2	1	1	1	1	0	2	1	1	1	2	1	2	2	0	4	1	6	1	0	2

